dataset,algorithm,sketch_size,projection_error,covariance_error,runtime_sec,varied_param,param_value,n,d,z,l
synthetic,FD,50,1.0146716439673513,0.007157289213930221,0.9478305419906974,z,100.0,10000.0,1000.0,100.0,50.0
synthetic,SFD,50,1.008161118172292,0.007071850877270585,0.2762555829831399,z,100.0,10000.0,1000.0,100.0,50.0
synthetic,ImprovedSFD,50,1.002848818103444,0.0067765256841267815,0.16477383399615064,z,100.0,10000.0,1000.0,100.0,50.0
synthetic,FD,50,1.0107046593515974,0.003902335021893864,1.0746402090298943,z,200.0,10000.0,1000.0,200.0,50.0
synthetic,SFD,50,1.00859808725914,0.0038997462929833966,0.4516687919967808,z,200.0,10000.0,1000.0,200.0,50.0
synthetic,ImprovedSFD,50,1.006112376548139,0.0038820212373962357,0.26944441703381017,z,200.0,10000.0,1000.0,200.0,50.0
synthetic,FD,50,1.0086785039869735,0.002806401763351348,0.9455093329888768,z,300.0,10000.0,1000.0,300.0,50.0
synthetic,SFD,50,1.0076753501192055,0.002805746480904322,0.6356697910232469,z,300.0,10000.0,1000.0,300.0,50.0
synthetic,ImprovedSFD,50,1.0057512493285434,0.002799575014192655,0.3803112090099603,z,300.0,10000.0,1000.0,300.0,50.0
synthetic,FD,50,1.0074787338721036,0.002248424235849132,0.9152612499892712,z,400.0,10000.0,1000.0,400.0,50.0
synthetic,SFD,50,1.0067940349996531,0.0022481841606321823,0.8201865419978276,z,400.0,10000.0,1000.0,400.0,50.0
synthetic,ImprovedSFD,50,1.0058976346452149,0.002246273071563951,0.5063324169605039,z,400.0,10000.0,1000.0,400.0,50.0
synthetic,FD,50,1.0064194276770224,0.0019050444947434808,0.9189680419513024,z,500.0,10000.0,1000.0,500.0,50.0
synthetic,SFD,50,1.0061427314836773,0.0019048707558012988,1.0056288339546882,z,500.0,10000.0,1000.0,500.0,50.0
synthetic,ImprovedSFD,50,1.005245476737016,0.0019023941991760003,0.5940960840089247,z,500.0,10000.0,1000.0,500.0,50.0
